iter	Passed	Remaining
0	10	10101
1	15	7945
2	22	7451
3	27	6797
4	32	6392
5	42	6963
6	47	6697
7	52	6515
8	58	6440
9	63	6306
10	71	6427
11	79	6562
12	88	6731
13	96	6802
14	102	6721
15	107	6641
16	112	6531
17	118	6467
18	124	6423
19	129	6331
20	137	6390
21	147	6573
22	154	6567
23	159	6485
24	164	6410
25	171	6422
26	176	6348
27	181	6286
28	187	6289
29	192	6235
30	197	6184
31	206	6245
32	211	6192
33	217	6170
34	222	6147
35	227	6100
36	233	6070
37	238	6043
38	243	6004
39	248	5961
40	261	6106
41	267	6091
42	272	6055
43	276	6017
44	282	6002
45	288	5978
46	293	5944
47	302	5997
48	307	5960
49	311	5925
50	318	5928
51	323	5897
52	328	5865
53	334	5859
54	339	5831
55	344	5802
56	350	5803
57	355	5777
58	360	5752
59	370	5804
60	375	5777
61	381	5764
62	386	5748
63	391	5726
64	399	5749
65	404	5724
66	409	5702
67	416	5706
68	421	5681
69	426	5661
70	432	5661
71	437	5641
72	442	5618
73	449	5621
74	456	5634
75	465	5656
76	472	5666
77	478	5656
78	484	5646
79	489	5628
80	495	5619
81	500	5606
82	505	5587
83	513	5603
84	519	5593
85	524	5574
86	530	5569
87	535	5550
88	540	5532
89	547	5532
90	552	5514
91	556	5493
92	563	5496
93	568	5479
94	573	5463
95	580	5466
96	585	5450
97	590	5434
98	596	5432
99	601	5417
100	606	5400
101	614	5412
102	619	5395
103	624	5379
104	630	5374
105	635	5357
106	639	5340
107	648	5353
108	653	5338
109	658	5329
110	715	5731
111	725	5750
112	734	5762
113	744	5789
114	750	5773
115	755	5754
116	763	5765
117	768	5747
118	774	5734
119	780	5723
120	785	5708
121	792	5706
122	797	5689
123	802	5672
124	812	5688
125	818	5680
126	826	5683
127	832	5672
128	838	5662
129	846	5664
130	852	5653
131	860	5657
132	866	5646
133	872	5641
134	879	5636
135	885	5625
136	893	5630
137	899	5619
138	906	5616
139	912	5606
140	917	5589
141	925	5593
142	930	5577
143	935	5561
144	942	5557
145	947	5542
146	954	5540
147	960	5527
148	965	5514
149	972	5512
150	977	5498
151	982	5483
152	989	5478
153	995	5466
154	1000	5452
155	1007	5448
156	1012	5435
157	1017	5420
158	1023	5416
159	1030	5409
160	1036	5402
161	1042	5392
162	1047	5380
163	1055	5380
164	1061	5370
165	1067	5362
166	1074	5358
167	1079	5347
168	1086	5344
169	1092	5334
170	1098	5326
171	1107	5329
172	1112	5315
173	1120	5319
174	1125	5307
175	1137	5326
176	1142	5313
177	1149	5306
178	1156	5304
179	1162	5296
180	1170	5294
181	1175	5282
182	1181	5274
183	1189	5274
184	1195	5264
185	1202	5263
186	1208	5253
187	1213	5242
188	1222	5244
189	1228	5235
190	1236	5236
191	1242	5226
192	1247	5214
193	1257	5223
194	1263	5217
195	1271	5215
196	1277	5207
197	1285	5204
198	1290	5196
199	1297	5188
200	1303	5179
201	1309	5172
202	1316	5169
203	1322	5159
204	1327	5148
205	1335	5147
206	1340	5135
207	1348	5133
208	1352	5120
209	1358	5109
210	1366	5108
211	1371	5097
212	1381	5104
213	1389	5102
214	1398	5105
215	1406	5105
216	1414	5105
217	1420	5095
218	1426	5087
219	1433	5083
220	1438	5071
221	1444	5062
222	1450	5052
223	1454	5040
224	1459	5027
225	1465	5019
226	1470	5007
227	1475	4995
228	1482	4992
229	1487	4981
230	1493	4972
231	1499	4962
232	1504	4951
233	1513	4953
234	1519	4947
235	1524	4936
236	1530	4928
237	1536	4918
238	1544	4918
239	1549	4907
240	1554	4897
241	1561	4889
242	1565	4878
243	1571	4867
244	1577	4862
245	1582	4851
246	1587	4839
247	1594	4834
248	1599	4823
249	1604	4813
250	1611	4808
251	1616	4797
252	1621	4786
253	1628	4784
254	1633	4773
255	1641	4770
256	1647	4761
257	1651	4750
258	1658	4743
259	1662	4733
260	1667	4722
261	1674	4715
262	1678	4704
263	1683	4694
264	1690	4687
265	1695	4678
266	1700	4667
267	1707	4664
268	1712	4653
269	1717	4643
270	1724	4638
271	1729	4628
272	1734	4619
273	1741	4613
274	1746	4603
275	1751	4593
276	1760	4593
277	1764	4583
278	1770	4575
279	1776	4567
280	1781	4557
281	1786	4549
282	1792	4542
283	1797	4532
284	1803	4525
285	1808	4515
286	1813	4505
287	1819	4498
288	1825	4491
289	1830	4481
290	1837	4476
291	1842	4466
292	1846	4456
293	1852	4449
294	1858	4440
295	1862	4430
296	1868	4423
297	1874	4414
298	1878	4404
299	1884	4397
300	1890	4390
301	1895	4381
302	1904	4380
303	1914	4382
304	1922	4380
305	1926	4370
306	1933	4363
307	1938	4355
308	1943	4346
309	1950	4340
310	1955	4331
311	1960	4322
312	1966	4315
313	2011	4393
314	2019	4392
315	2028	4390
316	2051	4420
317	2056	4410
318	2061	4400
319	2067	4394
320	2072	4384
321	2077	4375
322	2084	4368
323	2089	4360
324	2096	4354
325	2101	4345
326	2108	4339
327	2114	4331
328	2118	4321
329	2124	4312
330	2129	4304
331	2135	4295
332	2140	4286
333	2146	4279
334	2151	4270
335	2156	4261
336	2163	4255
337	2172	4254
338	2180	4251
339	2187	4246
340	2194	4241
341	2202	4237
342	2208	4230
343	2217	4228
344	2223	4222
345	2235	4226
346	2246	4228
347	2253	4221
348	2260	4217
349	2270	4215
350	2277	4211
351	2284	4206
352	2291	4200
353	2300	4197
354	2307	4191
355	2315	4188
356	2321	4182
357	2331	4180
358	2338	4174
359	2346	4172
360	2353	4165
361	2364	4167
362	2370	4160
363	2379	4158
364	2386	4151
365	2395	4149
366	2401	4142
367	2410	4140
368	2417	4133
369	2426	4130
370	2432	4124
371	2440	4120
372	2447	4114
373	2455	4109
374	2463	4105
375	2469	4098
376	2478	4095
377	2485	4089
378	2493	4085
379	2502	4083
380	2511	4081
381	2519	4075
382	2527	4071
383	2534	4065
384	2542	4061
385	2549	4055
386	2557	4050
387	2564	4044
388	2571	4038
389	2579	4034
390	2585	4027
391	2595	4025
392	2601	4018
393	2611	4016
394	2617	4009
395	2626	4005
396	2633	3999
397	2641	3996
398	2648	3989
399	2658	3987
400	2664	3980
401	2674	3978
402	2681	3971
403	2689	3967
404	2696	3961
405	2705	3957
406	2712	3952
407	2720	3947
408	2727	3941
409	2734	3935
410	2742	3929
411	2749	3923
412	2757	3919
413	2765	3914
414	2773	3909
415	2780	3903
416	2788	3899
417	2795	3892
418	2804	3888
419	2811	3882
